"","coef","se","pval","country","formula","capital","dgvm","iso3"
"I(temp^2)82",-0.0123230637099317,0.00481421754585892,0.0182531911789325,"BF","sq","mN","orc","BFA"
"I(temp^2)83",-0.00496464607194095,0.00545803628310441,0.373354087768735,"BF","sq","nN","orc","BFA"
"I(temp^2)84",0.000275041154224145,0.00205901857209186,0.894261391505224,"BF","sq","mN","car","BFA"
"I(temp^2)85",0.00551092383318461,0.00531247668137519,0.304464018694428,"BF","sq","nN","car","BFA"
"I(temp^2)86",-0.020036650673818,0.00182437674834576,1.05166148062688e-21,"BF","sq","mN","all","BFA"
"I(temp^2)87",-0.0197483429006997,0.00208961571773613,2.10987513898995e-17,"BF","sq","nN","all","BFA"
"log(temp + 1)80",-0.272878202798026,0.028318733670605,3.92278350676702e-15,"BF","log","mN","lpj","BFA"
"log(temp + 1)81",-0.277320394772449,0.0287248657717837,3.60662724889083e-15,"BF","log","nN","lpj","BFA"
"log(temp + 1)82",-0.0788655345927347,0.0247628002376987,0.00445751791498988,"BF","log","mN","orc","BFA"
"log(temp + 1)83",-0.042325626403813,0.0280495291884075,0.146208228737121,"BF","log","nN","orc","BFA"
"log(temp + 1)84",0.000569189068204517,0.0134644142967347,0.966445674192078,"BF","log","mN","car","BFA"
"log(temp + 1)85",0.0438860357532451,0.0345258890024972,0.209458333078476,"BF","log","nN","car","BFA"
"log(temp + 1)86",-0.215506401246095,0.0216376894809012,8.17297855430184e-19,"BF","log","mN","all","BFA"
"log(temp + 1)87",-0.199932551199958,0.0246307925926768,7.97329726443718e-14,"BF","log","nN","all","BFA"
"temp80",-0.102965496100475,0.00955554605906918,2.2350440700961e-17,"BF","lin","mN","lpj","BFA"
